type,time,user,system
fastlz1,89.33131506806,82.75897032,6.56374108
fastlz2,155.0417450156,128.78304566,20.595867
uncompressed,70.49318158458,64.95069978,5.52916806
zlib0,88.7408512163,78.20686414,10.524262
zlib1,107.49964638396,99.16664924,8.3172525
zlib3,116.30003864952,106.35132674,8.88081164
zlib6,122.00174653288,114.55789172,7.40855448
zlib9,226.4432716358,214.986536,11.37603618
